status_id;status_message;link_name;status_type;status_link;date_published;hour_published;num_reactions;num_comments;num_shares;num_likes;num_loves;num_wows;num_hahas;num_sads;num_angrys;num_special
604876072984693_784775981661367;Tupanciretã é mais um município que conta com o totem da Consulta Nacional de Protesto (CNP). O terminal será colocado em locais com grande fluxo de pessoas e estará na agência do Banco do Brasil durante os próximos dias.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/784775981661367/?type=3;2016-12-12;11:03:36;180;1;9;180;0;0;0;0;0;0
604876072984693_781460455326253;Encontro entre IEPRO e Corregedoria Geral de Justiça debate questões para melhorias do protesto no Rio Grande do Sul.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/781460455326253/?type=3;2016-12-07;13:32:35;10;0;0;10;0;0;0;0;0;0
604876072984693_781260938679538;IEPRO na mídia: o crescimento do protesto no Rio Grande do Sul em 2016 é notícia nesta quarta-feira na coluna + Economia da Zero Hora.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/781260938679538/?type=3;2016-12-07;07:16:17;11;0;9;11;0;0;0;0;0;0
604876072984693_780607628744869;Venda com a certeza de receber! Utilize a Consulta Nacional de Protestos (CNP) e verifique se o seu potencial cliente é bom pagador. Baixe o aplicativo Pesquisa de Protesto no Google Play ou Apple Store, insira o CPF ou CNPJ, selecione o estado em que a consulta será feita e o resultado aparecerá na tela. É fácil, rápido e gratuita!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/780607628744869/?type=3;2016-12-06;05:46:24;7;0;6;7;0;0;0;0;0;0
604876072984693_776268615845437;Totens da Consulta Nacional de Protesto (CNP) sendo preparados para serem enviados aos Cartórios de Protesto do Rio Grande do Sul. Os terminais possibilitam a pesquisa gratuita de CPF e CNPJ para verificar a existência de protestos. Tecnologia a serviço da população!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/776268615845437/?type=3;2016-11-29;12:48:10;252;5;22;246;5;1;0;0;0;0
604876072984693_773510909454541;A alegria de quem está terminando o mês no azul e vai poder fazer umas comprinhas no Black Friday! Mas tome cuidado para não estourar o orçamento e o que era felicidade se tornar uma grande tristeza!;giphy.com;link;http://giphy.com/gifs/3oz8xLW0kN5rXVr5ug;2016-11-25;07:20:55;4;0;0;4;0;0;0;0;0;0
604876072984693_772867696185529;Está se preparando para o Black Friday e as vendas de final de ano? Antes de fechar negócio pesquise o CPF ou CNPJ na Consulta Nacional de Protesto. Acesse www.protestors.com.br, faça a consulta gratuitamente e venda com a certeza de receber!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/772867696185529/?type=3;2016-11-24;06:56:01;26;0;4;26;0;0;0;0;0;0
604876072984693_772143612924604;A entrega do totem da Consulta Nacional de Protesto para Alvorada está em destaque no O Alvoradense. O terminal, que já está em funcionamento logo na entrada do Cartório do município (Avenida Presidente Getúlio Vargas, 1070), possibilita para a população a pesquisa gratuita que verifica se um CPF ou CNPJ está protestado em todo o território nacional.;O Alvoradense;link;http://bit.ly/2gigMIE;2016-11-23;06:24:37;7;1;0;7;0;0;0;0;0;0
604876072984693_768837093255256;Se você tem uma dívida para receber baseada em um título ou documento, você pode protestar. Isso mesmo: qualquer pessoa pode protestar! Utilize o protesto para receber o valor de um cheque, de uma nota promissória, de um contrato de aluguel e da venda de bens móveis ou imóveis. Saiba mais www.protestors.com.br;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/768837093255256/?type=3;2016-11-21;07:36:30;7;0;1;7;0;0;0;0;0;0
604876072984693_769457823193183;Sexta-feira duplamente especial! No Dia Nacional do Notário e Registrador começamos a entrega dos totens da Consulta Nacional de Protesto (CNP). O Cartório de Alvorada foi o primeiro a receber o terminal que proporciona para a população a pesquisa gratuita de CPF e CNPJ.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/769457823193183/?type=3;2016-11-18;13:49:53;164;2;6;160;4;0;0;0;0;0
604876072984693_768328453306120;Quando se encaminha uma dívida para protesto são grandes as possibilidades de recebê-la em poucos dias: mais de 65% são resolvidas em até três dias úteis. O protesto também demonstra respeito pelos seus devedores ao utilizar um meio oficial de cobrança, previsto em lei e fiscalizado pelos órgãos públicos.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/768328453306120/?type=3;2016-11-16;12:20:31;6;0;1;6;0;0;0;0;0;0
604876072984693_765045816967717;O Supremo Tribunal Federal (STF) finalizou nesta quarta-feira o julgamento da ação que questionava a utilização do protesto para a cobrança de certidões de dívida ativa (CDA). O Supremo entendeu que a utilização do protesto pela Fazenda Pública para promover a cobrança extrajudicial é constitucional e legítima.;Protesto extrajudicial de certidões de dívida ativa é constitucional;link;http://www.conjur.com.br/2016-nov-09/protesto-extrajudicial-certidoes-divida-ativa-constitucional;2016-11-10;08:45:55;5;0;9;5;0;0;0;0;0;0
604876072984693_764621523676813;Com a Consulta Nacional de Protesto nunca foi tão fácil descobrir se uma pessoa física ou jurídica está protestada. Consulte em www.protestors.com.br ou baixe o aplicativo Pesquisa de Protesto.;giphy.com;link;http://giphy.com/gifs/26ybwEjofIgCLllK0;2016-11-09;13:53:23;153;0;5;149;2;0;2;0;0;0
604876072984693_764038663735099;Se você possui um grande volume de títulos ou documentos de dívida e clientes em diversos municípios do Rio Grande do Sul, a Central de Remessa de Arquivos (CRA) é a opção mais vantajosa para protestar. Mas, se os clientes residem no mesmo município da sua empresa, apresente os títulos ou documentos de dívida diretamente no Cartório de Protesto.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/764038663735099/?type=3;2016-11-08;13:33:46;7;0;1;7;0;0;0;0;0;0
604876072984693_761045490701083;Com o protesto, você só tem motivo para comemorar! Mais de 65% das dívidas encaminhadas para protesto são resolvidas em até 3 dias úteis. Acesse www.protestors.com.br e saiba mais.;giphy.com;link;https://giphy.com/gifs/l0MYzW1qn1tAz7wu4;2016-11-04;06:58:00;291;0;7;282;0;0;9;0;0;0
604876072984693_761033597368939;Com a Central de Remessa de Arquivos (CRA), o único interlocutor entre você e os Cartórios de Protesto do Rio Grande do Sul é o IEPRO–RS, que disponibiliza uma equipe para solucionar qualquer pendência com eficiência e rapidez.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/761033597368939/?type=3;2016-11-03;08:12:42;10;0;3;10;0;0;0;0;0;0
604876072984693_759526264186339;Médicos, dentistas, advogados, contadores, arquitetos e outros profissionais liberais podem utilizar o protesto para recuperar créditos. Procure o Cartório do seu município com a conta de prestação de serviços, inicie o protesto e garante a saúde financeira do seu negócio. Conheça mais em www.protestors.com.br.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/759526264186339/?type=3;2016-11-01;08:02:01;19;0;2;19;0;0;0;0;0;0
604876072984693_757700307702268;Três dias de muito aprendizado para qualificar cada vez mais o protesto no Rio Grande do Sul. Obrigado Paulo, Jerfeson e P21 Sistemas!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/757700307702268/?type=3;2016-10-28;13:47:33;17;0;2;15;2;0;0;0;0;0
604876072984693_757561714382794;O mês está fechando no vermelho? Acabe com esse problema e garanta a saúde financeira do seu negócio. Cobre os seus devedores através do protesto! Mais de 65% das dívidas encaminhadas para protesto são recuperadas em até três dias úteis. Saiba mais em www.protestors.com.br.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/757561714382794/?type=3;2016-10-28;08:41:24;36;0;4;36;0;0;0;0;0;0
604876072984693_756047974534168;Para realizar o protesto é necessário apresentar o título ou documento de dívida no Cartório em que o devedor reside ou está instalado. Por isso, é fundamental manter atualizado os endereços dos seus clientes.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/756047974534168/?type=3;2016-10-25;12:31:10;5;0;4;5;0;0;0;0;0;0
604876072984693_752933614845604;Não confunda protesto e negativação. A negativação consiste na inclusão do devedor nos bancos de dados privados e não garante direitos ao credor. Já o protesto é um instrumento previsto em lei para comprovar com fé pública a existência de uma dívida, garantindo os direitos ao consumidor. Quando o assunto é cobrança de dívidas, o protesto é o grande campeão!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/752933614845604/?type=3;2016-10-20;07:13:52;9;0;1;9;0;0;0;0;0;0
